Num, Weight,-,-,-,-,-,-,LearnRate,TrainError
0,137,167,214,226,6,708,757,1,1300956.46226415
1,-23,21,26,23,-5,-121,47,1,65169.2358490566
2,257,113,144,230,4,762,726,0.995024875621891,1340292.99056604
3,-51.4577114427861,113,1.71144278606963,13.0845771144278,-5.95024875621891,-21.0845771144279,-74.0000000000001,0.995024875621891,74060.0742983199
4,220.18407960199,194.592039800995,106.189054726368,222.039800995025,3.00497512437811,878.417910447761,602.616915422886,0.990074503106359,1339671.869755
5,-97.6298358951512,194.592039800995,-56.1831637830747,33.9256454048167,-1.94539739115369,17.0530927452289,-163.700749981436,0.990074503106359,116062.898625945
6,62.762233608079,341.123066260736,132.92106631024,211.148981460855,13.8957946585481,848.715675354571,571.924605826588,0.98514875930981,1266862.12704827
7,-285.980427187594,341.123066260736,132.92106631024,-19.3758282176406,7.9849021026892,-96.0419848235373,-108.81318685649,0.98514875930981,191599.476312977
8,-141.163559569052,428.801305839309,246.213173630868,179.624221162941,16.8512409364775,751.185948182899,707.875134611342,0.980247521701304,1251732.26816593
9,-298.00316304126,285.685167670919,61.9266395510229,-19.3660257424236,6.06851819776315,-61.4392473074814,11.8993942034166,0.980247521701304,87409.0617420027
10,-143.124054612454,285.685167670919,303.067529889544,151.197043033603,12.9302508496723,953.116937653368,703.954144524537,0.975370668359506,1412598.46952398
11,-293.331137539818,176.443652814654,162.614153645775,-63.3845040054882,3.17654416607721,52.8498107575437,62.1602447439819,0.975370668359506,45386.5295822635
12,-443.538220467182,38.9163885759639,-13.9279373272959,-291.621240401613,-7.55253318587736,-724.520611924983,-604.017921745561,0.970518077969658,1243602.08140175
13,-283.402737602189,184.494100271413,-13.9279373272959,-114.986950211135,4.09368374975854,268.319381837977,103.48975709432,0.970518077969658,233036.211768719
14,-592.02748639654,62.2088224472357,-13.9279373272959,-318.795746584763,-1.72942471805941,-567.296683293898,-611.782066369318,0.965689629820555,1152350.56574194
15,-438.482835255072,174.22881950642,129.959817515967,-149.800061366166,12.7559197292489,353.005533925091,83.5144671014817,0.965689629820555,264923.867952031
