T(rees),Training Error,Testing Error
1,0.0722,0.1682
2,0.0862,0.2076
3,0.043,0.1512
4,0.0398,0.1696
5,0.03,0.1508
6,0.031,0.1592
7,0.0262,0.1496
8,0.0256,0.158
9,0.0244,0.149
10,0.023,0.1542
11,0.0222,0.147
12,0.0198,0.1564
13,0.0198,0.1474
14,0.0194,0.1512
15,0.02,0.146
16,0.019,0.1484
17,0.0186,0.1444
18,0.0182,0.1468
19,0.0186,0.1418
20,0.0174,0.148
21,0.0176,0.1446
22,0.0164,0.1476
23,0.0172,0.1434
24,0.016,0.1474
25,0.0166,0.1434
26,0.0162,0.1472
27,0.0164,0.1456
28,0.0156,0.1498
29,0.0156,0.1464
30,0.0152,0.1492
31,0.0154,0.1442
32,0.0152,0.1466
33,0.0154,0.1434
34,0.015,0.1458
35,0.0156,0.144
36,0.0144,0.1454
37,0.0152,0.1428
38,0.0144,0.146
39,0.015,0.1424
40,0.015,0.1454
41,0.0152,0.1428
42,0.0146,0.1452
43,0.0146,0.144
44,0.0142,0.1462
45,0.0144,0.1424
46,0.0142,0.1454
47,0.0144,0.141
48,0.0146,0.1434
49,0.0144,0.1416
50,0.0142,0.1432
51,0.0144,0.1408
52,0.0144,0.1438
53,0.0144,0.142
54,0.014,0.1434
55,0.0144,0.1394
56,0.014,0.1426
57,0.0142,0.1402
58,0.0142,0.1416
59,0.0142,0.14
60,0.0142,0.1412
61,0.0144,0.14
62,0.0142,0.1416
63,0.0142,0.14
64,0.014,0.141
65,0.014,0.1392
66,0.014,0.1404
67,0.014,0.1394
68,0.014,0.1396
69,0.014,0.1384
70,0.0138,0.1402
71,0.014,0.1382
72,0.0136,0.1402
73,0.0138,0.14
74,0.0136,0.1416
75,0.0138,0.1398
76,0.0136,0.1412
77,0.0138,0.1408
78,0.0138,0.1416
79,0.0138,0.1402
80,0.0138,0.1418
81,0.0138,0.1402
82,0.0138,0.1406
83,0.0138,0.14
84,0.0138,0.1402
85,0.0138,0.1396
86,0.0136,0.1402
87,0.0136,0.1386
88,0.0136,0.139
89,0.0136,0.1384
90,0.0136,0.1396
91,0.0136,0.1372
92,0.0136,0.139
93,0.0136,0.1386
94,0.0136,0.1394
95,0.0136,0.1384
96,0.0136,0.1392
97,0.0136,0.1382
98,0.0136,0.1398
99,0.0136,0.1388
100,0.0136,0.1398
101,0.0136,0.139
102,0.0136,0.1396
103,0.0136,0.139
104,0.0136,0.1394
105,0.0136,0.1382
106,0.0136,0.1392
107,0.0136,0.1384
108,0.0136,0.14
109,0.0136,0.139
110,0.0136,0.1398
111,0.0136,0.1392
