Tree#,Training Error,Testing Error
782,0.8638,0.8616
783,0.1192,0.1248
784,0.7384,0.7418
785,0.4064,0.41
786,0.8502,0.8464
787,0.4142,0.4058
788,0.1678,0.1716
789,0.7964,0.7934
790,0.4582,0.4606
791,0.473,0.4664
792,0.521,0.529
793,0.5514,0.5512
794,0.219,0.219
795,0.8638,0.8616
796,0.1192,0.1248
797,0.7074,0.6986
798,0.4376,0.4366
799,0.3648,0.372
800,0.6032,0.6
801,0.3908,0.3954
802,0.6032,0.6
803,0.5824,0.5822
804,0.4116,0.4132
805,0.3908,0.3954
806,0.6292,0.6234
807,0.5564,0.5588
808,0.4116,0.4132
809,0.464,0.465
810,0.2094,0.2104
811,0.8808,0.8752
812,0.6198,0.6144
813,0.2742,0.2752
814,0.845,0.8446
815,0.3116,0.3222
816,0.8502,0.8464
817,0.1192,0.1248
818,0.6452,0.6412
819,0.3908,0.3954
820,0.6418,0.6338
821,0.2168,0.2156
822,0.8638,0.8616
823,0.1192,0.1248
824,0.5728,0.5784
825,0.6086,0.614
826,0.286,0.2784
827,0.708,0.717
828,0.4776,0.4652
829,0.5164,0.5302
830,0.4776,0.4652
831,0.5164,0.5302
832,0.286,0.2784
833,0.708,0.717
834,0.4776,0.4652
835,0.5164,0.5302
836,0.286,0.2784
837,0.708,0.717
838,0.4776,0.4652
839,0.5164,0.5302
840,0.286,0.2784
841,0.708,0.717
842,0.1452,0.1544
843,0.8748,0.8706
844,0.244,0.241
845,0.5808,0.5928
846,0.5026,0.4972
847,0.8502,0.8464
848,0.1192,0.1248
849,0.8638,0.8616
850,0.1192,0.1248
851,0.8638,0.8616
852,0.2716,0.2644
853,0.3462,0.359
854,0.7034,0.6914
855,0.8638,0.8616
856,0.7372,0.7384
857,0.1192,0.1248
858,0.478,0.4798
859,0.4782,0.4836
860,0.437,0.445
861,0.693,0.694
862,0.3804,0.3866
863,0.6234,0.617
864,0.5508,0.5498
865,0.369,0.3812
866,0.8638,0.8616
867,0.1392,0.1426
868,0.6134,0.6114
869,0.4802,0.4904
870,0.8748,0.8706
871,0.184,0.1912
872,0.8748,0.8706
873,0.775,0.7718
874,0.1192,0.1248
875,0.5722,0.5708
876,0.5832,0.591
877,0.8638,0.8616
878,0.1192,0.1248
879,0.8292,0.8254
880,0.4822,0.476
881,0.2488,0.2462
882,0.6926,0.698
883,0.2132,0.212
884,0.6982,0.7034
885,0.378,0.3738
886,0.3462,0.359
887,0.6776,0.6654
888,0.582,0.5862
889,0.4634,0.4626
890,0.6614,0.6714
891,0.5756,0.5642
892,0.8638,0.8616
893,0.1192,0.1248
894,0.6212,0.6204
895,0.5186,0.5268
896,0.502,0.4964
897,0.492,0.499
898,0.502,0.4964
899,0.8638,0.8616
900,0.4142,0.4058
901,0.1206,0.1236
902,0.8748,0.8706
903,0.1452,0.1544
904,0.6866,0.6814
905,0.8022,0.8016
906,0.175,0.1742
907,0.5792,0.5792
908,0.8502,0.8464
909,0.129,0.133
910,0.8638,0.8616
911,0.1192,0.1248
912,0.6252,0.6234
913,0.6128,0.6126
914,0.527,0.5346
915,0.4632,0.4582
916,0.5308,0.5372
917,0.473,0.4664
918,0.8638,0.8616
919,0.1192,0.1248
920,0.5232,0.5296
921,0.8638,0.8616
922,0.285,0.2944
923,0.3028,0.298
924,0.5422,0.5474
925,0.7372,0.7384
926,0.1192,0.1248
927,0.7444,0.7474
928,0.2646,0.2654
929,0.7552,0.756
930,0.2752,0.2754
931,0.7188,0.72
932,0.2752,0.2754
933,0.7188,0.72
934,0.2752,0.2754
935,0.7188,0.72
936,0.8638,0.8616
937,0.1192,0.1248
938,0.7954,0.7854
939,0.3182,0.3246
940,0.6758,0.6708
941,0.1452,0.1544
942,0.8748,0.8706
943,0.2872,0.2856
944,0.8638,0.8616
945,0.1192,0.1248
946,0.5952,0.597
947,0.6194,0.6152
948,0.3746,0.3802
949,0.4982,0.5014
950,0.4958,0.494
951,0.4982,0.5014
952,0.6198,0.6144
953,0.1088,0.1166
954,0.7924,0.7934
955,0.5096,0.5148
956,0.7214,0.716
957,0.8502,0.8464
958,0.1192,0.1248
959,0.4762,0.4704
960,0.6644,0.6634
961,0.573,0.5682
962,0.5004,0.5124
963,0.4678,0.457
964,0.1452,0.1544
965,0.8748,0.8706
966,0.8638,0.8616
967,0.1192,0.1248
968,0.5832,0.591
969,0.5824,0.5822
970,0.8638,0.8616
971,0.1192,0.1248
972,0.729,0.7188
973,0.2916,0.3044
974,0.7024,0.691
975,0.2916,0.3044
976,0.7024,0.691
977,0.8638,0.8616
978,0.2634,0.268
979,0.7438,0.7486
980,0.2094,0.2104
981,0.7518,0.7544
982,0.5684,0.5542
983,0.8638,0.8616
984,0.1088,0.1166
985,0.6698,0.6792
986,0.8502,0.8464
987,0.1678,0.1716
988,0.8222,0.8194
989,0.5942,0.5802
990,0.4324,0.4486
991,0.3708,0.3618
992,0.464,0.465
993,0.8638,0.8616
994,0.1718,0.176
995,0.5228,0.5234
996,0.791,0.793
997,0.1452,0.1544
998,0.8748,0.8706
999,0.8638,0.8616
1000,0.2168,0.2156
