T(rees),Training Error,Testing Error
273,0.0136,0.1424
274,0.0136,0.1426
275,0.0136,0.1424
276,0.0136,0.1428
277,0.0136,0.1428
278,0.0136,0.1428
279,0.0136,0.1426
280,0.0136,0.1428
281,0.0136,0.1428
282,0.0136,0.1426
283,0.0136,0.1426
284,0.0136,0.143
285,0.0136,0.1422
286,0.0136,0.1426
287,0.0136,0.1422
288,0.0136,0.1428
289,0.0136,0.1426
290,0.0136,0.1428
291,0.0136,0.1428
292,0.0136,0.1428
293,0.0136,0.1426
294,0.0136,0.143
295,0.0136,0.1426
296,0.0136,0.1426
297,0.0136,0.1422
298,0.0136,0.1426
299,0.0136,0.1424
300,0.0136,0.1424
301,0.0136,0.1422
302,0.0136,0.1418
303,0.0136,0.1418
304,0.0136,0.1422
305,0.0136,0.142
306,0.0136,0.142
307,0.0136,0.1424
308,0.0136,0.1422
309,0.0136,0.1426
310,0.0136,0.1424
311,0.0136,0.142
312,0.0136,0.1422
313,0.0136,0.1422
314,0.0136,0.1426
315,0.0136,0.1426
316,0.0136,0.1426
317,0.0136,0.1418
318,0.0136,0.1426
319,0.0136,0.1428
320,0.0136,0.143
321,0.0136,0.1428
322,0.0136,0.1424
323,0.0136,0.1422
324,0.0136,0.1424
325,0.0136,0.142
326,0.0136,0.1426
327,0.0136,0.1418
328,0.0136,0.1424
329,0.0136,0.142
330,0.0136,0.142
331,0.0136,0.1422
332,0.0136,0.142
333,0.0136,0.142
334,0.0136,0.142
335,0.0136,0.1422
336,0.0136,0.142
337,0.0136,0.1418
338,0.0136,0.1418
339,0.0136,0.142
340,0.0136,0.142
341,0.0136,0.1416
342,0.0136,0.142
343,0.0136,0.1418
344,0.0136,0.1418
345,0.0136,0.1418
346,0.0136,0.1416
347,0.0136,0.1416
348,0.0136,0.1414
349,0.0136,0.1412
350,0.0136,0.1414
351,0.0136,0.1412
352,0.0136,0.1418
353,0.0136,0.1416
354,0.0136,0.1418
355,0.0136,0.1414
356,0.0136,0.142
357,0.0136,0.1412
358,0.0136,0.1414
359,0.0136,0.1412
360,0.0136,0.1412
361,0.0136,0.1408
362,0.0136,0.1416
363,0.0136,0.1414
364,0.0136,0.1416
365,0.0136,0.1412
366,0.0136,0.142
367,0.0136,0.1418
368,0.0136,0.1414
369,0.0136,0.1416
370,0.0136,0.1414
371,0.0136,0.141
372,0.0136,0.1412
373,0.0136,0.1412
374,0.0136,0.1416
375,0.0136,0.1416
376,0.0136,0.1416
377,0.0136,0.1416
378,0.0136,0.1416
379,0.0136,0.1414
380,0.0136,0.1418
381,0.0136,0.142
382,0.0136,0.1418
383,0.0136,0.1414
384,0.0136,0.1412
385,0.0136,0.1408
386,0.0136,0.1416
387,0.0136,0.1412
388,0.0136,0.142
389,0.0136,0.1418
390,0.0136,0.1416
391,0.0136,0.1414
392,0.0136,0.1416
393,0.0136,0.1416
394,0.0136,0.142
395,0.0136,0.1416
396,0.0136,0.142
397,0.0136,0.1416
398,0.0136,0.1416
399,0.0136,0.1416
400,0.0136,0.1422
401,0.0136,0.1416
402,0.0136,0.142
403,0.0136,0.1418
404,0.0136,0.142
405,0.0136,0.1416
406,0.0136,0.142
407,0.0136,0.1412
408,0.0136,0.1414
409,0.0136,0.142
410,0.0136,0.1418
411,0.0136,0.1418
412,0.0136,0.1424
413,0.0136,0.1418
414,0.0136,0.1422
415,0.0136,0.1414
416,0.0136,0.142
417,0.0136,0.1416
418,0.0136,0.1422
419,0.0136,0.142
420,0.0136,0.1418
421,0.0136,0.141
422,0.0136,0.1418
423,0.0136,0.1418
424,0.0136,0.1418
425,0.0136,0.1418
426,0.0136,0.142
427,0.0136,0.1422
428,0.0136,0.1422
429,0.0136,0.1424
430,0.0136,0.1422
431,0.0136,0.1424
432,0.0136,0.1422
433,0.0136,0.1426
434,0.0136,0.1424
435,0.0136,0.1426
436,0.0136,0.1422
437,0.0136,0.1426
438,0.0136,0.1432
439,0.0136,0.1432
440,0.0136,0.1428
441,0.0136,0.1432
442,0.0136,0.143
443,0.0136,0.143
444,0.0136,0.1428
445,0.0136,0.143
446,0.0136,0.1428
447,0.0136,0.1428
448,0.0136,0.143
449,0.0136,0.1428
450,0.0136,0.1428
451,0.0136,0.1424
452,0.0136,0.1424
453,0.0136,0.1418
