Tree#,Training Error,Testing Error
1,0.0722,0.1682
2,0.071,0.1728
3,0.0654,0.171
4,0.069,0.1698
5,0.071,0.1762
6,0.0706,0.1772
7,0.0676,0.1754
8,0.0726,0.174
9,0.0748,0.1644
10,0.0716,0.176
11,0.0652,0.186
12,0.0702,0.1794
13,0.0668,0.1634
14,0.0736,0.169
15,0.0724,0.1668
16,0.0659999999999999,0.1722
17,0.0708,0.1612
18,0.0694,0.1676
19,0.0686,0.1684
20,0.0744,0.1844
21,0.0666,0.172
22,0.0658,0.1648
23,0.072,0.1726
24,0.0682,0.1638
25,0.0634,0.1654
26,0.0694,0.1638
27,0.0676,0.172
28,0.0686,0.1784
29,0.0654,0.1672
30,0.0692,0.1796
31,0.0682,0.1692
32,0.0726,0.1746
33,0.0686,0.1648
34,0.0688,0.1738
35,0.0684,0.1706
36,0.0772,0.172
37,0.073,0.1634
38,0.0718,0.1664
39,0.0704,0.165
40,0.0762,0.1834
41,0.0634,0.1634
42,0.0642,0.1726
43,0.0656,0.174
44,0.0706,0.1668
45,0.0659999999999999,0.1676
46,0.0654,0.166
47,0.076,0.1738
48,0.0676,0.1668
49,0.0679999999999999,0.1624
50,0.0698,0.175
51,0.0666,0.1724
52,0.0669999999999999,0.1712
53,0.0678,0.1698
54,0.0704,0.1678
55,0.0694,0.1588
56,0.0728,0.182
57,0.0718,0.1774
58,0.069,0.164
59,0.0704,0.1744
60,0.0654,0.1628
61,0.0726,0.1722
62,0.0708,0.1684
63,0.0694,0.1752
64,0.0682,0.162
65,0.0646,0.167
66,0.0659999999999999,0.1536
67,0.0656,0.1688
68,0.0724,0.1782
69,0.0682,0.1632
70,0.0678,0.174
71,0.07,0.1792
72,0.0716,0.1756
73,0.0682,0.169
74,0.0704,0.1658
75,0.0718,0.1742
76,0.0669999999999999,0.1686
77,0.0669999999999999,0.1658
78,0.0698,0.1738
79,0.0672,0.1658
80,0.0694,0.1694
81,0.0714,0.1792
82,0.0738,0.1684
83,0.0706,0.1666
84,0.069,0.1788
85,0.0724,0.166
86,0.0722,0.1614
87,0.0692,0.1658
88,0.0708,0.1746
89,0.0686,0.167
90,0.0664,0.1746
91,0.0646,0.1558
92,0.0686,0.17
93,0.072,0.1812
94,0.0634,0.1674
95,0.0724,0.1748
96,0.0698,0.1712
97,0.0748,0.1832
98,0.0676,0.1772
99,0.0702,0.1646
100,0.0712,0.1756
101,0.0668,0.1694
102,0.0748,0.1758
103,0.0684,0.1778
104,0.0692,0.1672
105,0.0714,0.1642
106,0.0639999999999999,0.165
107,0.0662,0.171
108,0.0676,0.1626
109,0.0678,0.1744
110,0.0744,0.1692
111,0.0629999999999999,0.1676
112,0.0669999999999999,0.1712
113,0.0656,0.1728
114,0.0702,0.1832
115,0.071,0.1656
116,0.08,0.2014
117,0.0684,0.1654
118,0.0649999999999999,0.175
119,0.0702,0.1648
120,0.0716,0.1708
121,0.0656,0.1556
122,0.0634,0.1662
123,0.0652,0.179
124,0.0676,0.1744
125,0.0682,0.1734
126,0.0692,0.1626
127,0.0618,0.168
128,0.0732,0.1766
129,0.072,0.1826
130,0.0696,0.1694
131,0.0726,0.179
132,0.074,0.18
133,0.075,0.1708
134,0.0722,0.1842
135,0.0639999999999999,0.1636
136,0.072,0.1764
137,0.0802,0.184
138,0.0696,0.163
139,0.0698,0.1766
140,0.069,0.1796
141,0.0746,0.1656
142,0.076,0.1712
143,0.076,0.1814
144,0.0698,0.1638
145,0.0668,0.1832
146,0.0659999999999999,0.1644
147,0.0696,0.1734
148,0.0672,0.17
149,0.0748,0.1768
150,0.0716,0.166
151,0.0658,0.1746
152,0.0669999999999999,0.1702
153,0.0694,0.1702
154,0.0736,0.174
155,0.0612,0.1754
156,0.0669999999999999,0.1686
157,0.072,0.1794
158,0.0629999999999999,0.1682
159,0.0694,0.165
160,0.0716,0.171
161,0.0678,0.1696
162,0.0718,0.1696
163,0.0724,0.1824
164,0.0624,0.162
165,0.0658,0.1684
166,0.0678,0.1724
167,0.0684,0.1788
168,0.0714,0.1702
169,0.0726,0.174
170,0.0742,0.1804
171,0.074,0.178
172,0.0728,0.1772
173,0.0684,0.1696
174,0.0686,0.1654
175,0.0706,0.1674
176,0.07,0.1734
177,0.075,0.1768
178,0.0696,0.1712
179,0.069,0.1714
180,0.0682,0.1744
181,0.0696,0.1798
182,0.0706,0.1786
183,0.0682,0.1688
184,0.0726,0.1728
185,0.0652,0.1696
186,0.069,0.1678
187,0.0732,0.168
188,0.0752,0.1616
189,0.0669999999999999,0.1686
190,0.0696,0.1744
191,0.0696,0.1744
192,0.0666,0.1762
193,0.0686,0.1674
194,0.0732,0.1864
195,0.0678,0.1786
196,0.0706,0.1768
197,0.0752,0.1826
198,0.0682,0.1758
199,0.0688,0.1606
200,0.071,0.1688
201,0.0686,0.161
202,0.0664,0.1674
203,0.0704,0.17
204,0.0724,0.1702
205,0.0694,0.173
206,0.0692,0.1742
207,0.0659999999999999,0.169
208,0.0748,0.1738
209,0.0732,0.1674
210,0.0698,0.1738
211,0.0722,0.1766
212,0.0712,0.1642
213,0.0732,0.18
214,0.0688,0.1782
215,0.0629999999999999,0.1644
216,0.0676,0.167
217,0.0702,0.1634
218,0.0744,0.1802
219,0.0636,0.159
220,0.0672,0.1702
221,0.0674,0.1758
222,0.0676,0.1746
223,0.0732,0.185
224,0.0648,0.1608
225,0.0698,0.1758
226,0.0682,0.1678
227,0.0688,0.1714
228,0.0698,0.1784
229,0.07,0.1794
230,0.0672,0.1678
231,0.0659999999999999,0.1746
232,0.0714,0.1708
233,0.0694,0.164
234,0.0676,0.1698
235,0.0672,0.1656
236,0.0686,0.169
237,0.0704,0.1694
238,0.0682,0.1702
239,0.0754,0.1688
240,0.0672,0.1788
241,0.069,0.1708
242,0.0688,0.1712
243,0.0649999999999999,0.1678
244,0.0652,0.1648
245,0.0704,0.169
246,0.0674,0.1684
247,0.0694,0.1708
248,0.0712,0.1798
249,0.0706,0.1724
250,0.0704,0.1798
251,0.0764,0.1744
252,0.0714,0.1822
253,0.0638,0.1658
254,0.0684,0.1766
255,0.0684,0.1628
256,0.0736,0.177
257,0.0718,0.1772
258,0.0639999999999999,0.1568
259,0.0679999999999999,0.1668
260,0.0692,0.1662
261,0.0702,0.1658
262,0.0696,0.166
263,0.0702,0.1736
264,0.0762,0.1728
265,0.0698,0.1876
266,0.0758,0.1848
267,0.0688,0.1604
268,0.0678,0.175
269,0.0706,0.1792
270,0.0656,0.1722
271,0.0698,0.172
272,0.0666,0.1726
273,0.0716,0.1754
274,0.0734,0.1742
275,0.0698,0.1786
276,0.0672,0.1652
277,0.0654,0.1592
278,0.0712,0.1684
279,0.0696,0.1606
280,0.0669999999999999,0.1832
281,0.0679999999999999,0.1714
282,0.074,0.1736
283,0.0678,0.1778
284,0.0608,0.1698
285,0.0708,0.1804
286,0.0672,0.1652
287,0.0686,0.177
288,0.0658,0.1672
289,0.0676,0.1768
290,0.0676,0.1732
291,0.0672,0.176
292,0.072,0.1622
293,0.0669999999999999,0.1612
294,0.0679999999999999,0.1716
295,0.0738,0.1726
296,0.0669999999999999,0.1542
297,0.0646,0.174
298,0.0702,0.1878
299,0.0704,0.1696
300,0.0718,0.1688
301,0.0632,0.1576
302,0.0648,0.1658
303,0.0732,0.175
304,0.0698,0.1768
305,0.0682,0.1712
306,0.072,0.1746
307,0.0698,0.1704
308,0.0652,0.1856
309,0.0654,0.1566
310,0.069,0.1822
311,0.0648,0.1642
312,0.0646,0.1716
313,0.0672,0.1744
314,0.0672,0.173
315,0.0704,0.1758
316,0.0692,0.166
317,0.0658,0.1666
318,0.0694,0.17
319,0.0694,0.1602
320,0.0678,0.1708
321,0.0672,0.1796
322,0.0692,0.176
323,0.0634,0.1666
324,0.0674,0.165
325,0.0724,0.1706
326,0.0754,0.18
327,0.0678,0.1574
328,0.0678,0.16
329,0.0698,0.1748
330,0.0758,0.1734
331,0.0724,0.1752
332,0.0694,0.171
333,0.0672,0.173
334,0.0692,0.1728
335,0.0706,0.1714
336,0.069,0.1772
337,0.0722,0.1692
338,0.0736,0.1768
339,0.0642,0.1704
340,0.0738,0.1762
341,0.0746,0.1702
342,0.0716,0.1744
343,0.0656,0.1614
344,0.0732,0.1688
345,0.0718,0.1814
346,0.0718,0.1712
347,0.0752,0.172
348,0.0698,0.1708
349,0.0626,0.1678
350,0.0724,0.1816
351,0.0696,0.1728
352,0.0642,0.1654
353,0.0674,0.1702
354,0.0668,0.1694
355,0.0669999999999999,0.1758
356,0.0636,0.1572
357,0.071,0.1638
358,0.0724,0.1776
359,0.0694,0.1714
360,0.0704,0.1618
361,0.072,0.1746
362,0.0706,0.179
363,0.0758,0.1768
364,0.0642,0.1762
365,0.0742,0.1802
366,0.0638,0.1612
367,0.0708,0.1796
368,0.0768,0.1844
369,0.0726,0.1822
370,0.0678,0.1754
371,0.075,0.1732
372,0.0704,0.174
373,0.0669999999999999,0.1748
374,0.0664,0.1666
375,0.0658,0.1678
376,0.0716,0.1738
377,0.074,0.169
378,0.0686,0.1652
379,0.0656,0.1718
380,0.0734,0.1734
381,0.0688,0.1784
382,0.0714,0.179
383,0.0669999999999999,0.1772
384,0.0688,0.158
385,0.0678,0.1628
386,0.07,0.166
387,0.069,0.1718
388,0.0718,0.181
389,0.0659999999999999,0.1648
390,0.0718,0.1678
391,0.0702,0.172
392,0.0732,0.176
393,0.069,0.1752
394,0.0682,0.1766
395,0.0669999999999999,0.1624
396,0.0782,0.1782
397,0.0724,0.1718
398,0.0669999999999999,0.1686
399,0.071,0.1734
400,0.0708,0.1704
401,0.0676,0.1722
402,0.0752,0.1812
403,0.0669999999999999,0.168
404,0.0696,0.1654
405,0.0706,0.1722
406,0.0694,0.1676
407,0.0734,0.1798
408,0.0688,0.1778
409,0.0742,0.1722
410,0.0726,0.1646
411,0.0734,0.1722
412,0.0649999999999999,0.1584
413,0.072,0.1716
414,0.0706,0.1792
415,0.0686,0.17
416,0.0672,0.1718
417,0.0692,0.1706
418,0.0679999999999999,0.1786
419,0.072,0.1738
420,0.0659999999999999,0.1734
421,0.0632,0.1688
422,0.07,0.1682
423,0.0676,0.174
424,0.0692,0.1736
425,0.0736,0.1662
426,0.0654,0.1616
427,0.0658,0.1622
428,0.0736,0.174
429,0.0724,0.1734
430,0.07,0.1746
431,0.0704,0.176
432,0.0669999999999999,0.1652
433,0.0662,0.1658
434,0.072,0.1702
435,0.0672,0.1782
436,0.069,0.1766
437,0.0714,0.1746
438,0.0698,0.1698
439,0.0702,0.1774
440,0.0672,0.1704
441,0.0694,0.1734
442,0.0678,0.1712
443,0.07,0.1584
444,0.0736,0.1818
445,0.0674,0.1662
446,0.0704,0.1666
447,0.0742,0.182
448,0.0698,0.174
449,0.0668,0.1638
450,0.0672,0.1764
451,0.0718,0.1712
452,0.0659999999999999,0.1762
453,0.0658,0.1714
454,0.0694,0.1696
455,0.0659999999999999,0.1674
456,0.0716,0.162
457,0.0722,0.175
458,0.0708,0.1608
459,0.0672,0.1686
460,0.0686,0.1726
461,0.0616,0.159
462,0.0716,0.1694
463,0.0708,0.1752
464,0.0658,0.1546
465,0.0686,0.1768
466,0.0704,0.1778
467,0.0758,0.1824
468,0.0682,0.1754
469,0.0696,0.1708
470,0.0674,0.1668
471,0.0612,0.167
472,0.0696,0.1664
473,0.0668,0.1748
474,0.0672,0.1772
