T(rees),Training Error,Testing Error
1,0.0774,0.185
2,0.0872,0.215
3,0.0466,0.1608
4,0.0434,0.1772
5,0.0328,0.1528
6,0.0328,0.1642
7,0.0272,0.1524
8,0.0268,0.1592
9,0.0244,0.1516
10,0.0226,0.1556
11,0.0216,0.1484
12,0.0196,0.1536
13,0.0196,0.1458
14,0.02,0.1498
15,0.0204,0.1458
16,0.0194,0.1476
17,0.0184,0.1428
18,0.0182,0.146
19,0.0184,0.1424
20,0.017,0.1452
21,0.0176,0.1438
22,0.0164,0.1454
23,0.017,0.1416
24,0.0164,0.1454
25,0.017,0.1414
26,0.0164,0.1436
27,0.016,0.1424
28,0.016,0.144
29,0.0158,0.141
30,0.015,0.1432
31,0.0152,0.1408
32,0.0152,0.1422
33,0.0154,0.1408
34,0.0152,0.1424
35,0.0156,0.1402
36,0.0144,0.1442
37,0.0148,0.1398
38,0.0142,0.1436
39,0.0144,0.1402
40,0.0142,0.144
41,0.0144,0.1406
42,0.0144,0.144
43,0.0144,0.1416
44,0.014,0.1432
45,0.0146,0.141
46,0.0142,0.1434
47,0.0144,0.1404
48,0.0144,0.1436
49,0.0144,0.1412
50,0.0142,0.144
51,0.0142,0.1418
52,0.014,0.1432
53,0.0142,0.141
54,0.014,0.1436
55,0.014,0.1398
56,0.014,0.1422
57,0.014,0.1396
58,0.014,0.1412
59,0.014,0.1398
60,0.0138,0.1428
61,0.014,0.1408
62,0.0138,0.1422
63,0.0138,0.1402
64,0.0136,0.1424
65,0.014,0.1404
66,0.0138,0.1424
67,0.0138,0.142
68,0.0138,0.1436
69,0.0138,0.1418
70,0.0136,0.1428
71,0.0138,0.1408
72,0.0136,0.142
73,0.0138,0.1402
74,0.0136,0.1426
75,0.0138,0.141
76,0.0136,0.143
77,0.0138,0.1432
78,0.0138,0.1434
79,0.0138,0.1418
80,0.0138,0.142
81,0.0138,0.141
82,0.0138,0.1418
83,0.0138,0.1408
84,0.0138,0.1412
85,0.0138,0.14
86,0.0138,0.1412
87,0.0138,0.1402
88,0.0138,0.1408
89,0.0138,0.14
90,0.0136,0.1404
91,0.0138,0.1398
92,0.0138,0.1422
93,0.0138,0.1414
94,0.0138,0.142
95,0.0138,0.1414
