Tree#,Training Error,Testing Error
1,0.0774,0.185
2,0.0698,0.1704
3,0.0678,0.1702
4,0.0744,0.1736
5,0.072,0.1802
6,0.0658,0.1796
7,0.0672,0.1728
8,0.0716,0.1732
9,0.0752,0.1752
10,0.0698,0.1678
11,0.0664,0.1774
12,0.0748,0.1822
13,0.071,0.174
14,0.0702,0.1674
15,0.0734,0.1698
16,0.0702,0.1758
17,0.0708,0.1672
18,0.072,0.1798
19,0.0658,0.1672
20,0.073,0.1872
21,0.0676,0.1726
22,0.0668,0.1654
23,0.0738,0.1724
24,0.0732,0.1772
25,0.07,0.1776
26,0.075,0.1806
27,0.0716,0.1746
28,0.0676,0.1642
29,0.0664,0.1666
30,0.0718,0.1838
31,0.0718,0.1716
32,0.0712,0.172
33,0.0686,0.167
34,0.069,0.1626
35,0.0714,0.1844
36,0.0758,0.183
37,0.0679999999999999,0.1634
38,0.0718,0.1726
39,0.0678,0.1618
40,0.0738,0.1844
41,0.0676,0.176
42,0.0666,0.182
43,0.0656,0.1812
44,0.0746,0.176
45,0.0676,0.1736
46,0.0656,0.1762
47,0.0748,0.1728
48,0.0682,0.1738
49,0.0738,0.1718
50,0.0679999999999999,0.1836
51,0.069,0.1814
52,0.0648,0.1792
53,0.0679999999999999,0.1714
54,0.0744,0.1764
55,0.0674,0.1618
56,0.0734,0.1748
57,0.0744,0.1804
58,0.0664,0.171
59,0.0748,0.1824
60,0.0658,0.1732
61,0.073,0.177
62,0.07,0.1698
63,0.0722,0.1728
64,0.0696,0.1704
65,0.0624,0.1714
66,0.0702,0.1684
67,0.0646,0.174
68,0.0728,0.1732
69,0.07,0.1774
70,0.069,0.1872
71,0.076,0.1806
72,0.0732,0.1782
73,0.0696,0.1668
74,0.0714,0.1804
75,0.0764,0.175
76,0.0694,0.176
77,0.0682,0.1768
78,0.0682,0.1646
79,0.0676,0.175
80,0.0776,0.192
81,0.073,0.1734
82,0.0772,0.1652
83,0.075,0.1702
84,0.0728,0.1798
85,0.0704,0.1614
86,0.0752,0.1744
87,0.0662,0.1714
88,0.0644,0.1692
89,0.0679999999999999,0.1744
90,0.0682,0.1768
91,0.0704,0.1716
92,0.0738,0.178
93,0.0696,0.1696
94,0.0679999999999999,0.1718
95,0.0732,0.1766
96,0.0744,0.1838
97,0.0716,0.1824
98,0.0692,0.1726
99,0.075,0.1684
100,0.08,0.1874
101,0.0712,0.1774
102,0.0766,0.1808
103,0.0732,0.1846
104,0.0732,0.176
105,0.0722,0.1764
106,0.072,0.183
107,0.0676,0.1706
108,0.0674,0.1656
109,0.0714,0.1744
110,0.0746,0.1748
111,0.0656,0.1772
112,0.0708,0.1836
113,0.0672,0.1698
114,0.0684,0.1854
115,0.0666,0.1708
116,0.0796,0.1894
117,0.0714,0.176
118,0.0654,0.1798
119,0.0724,0.1812
120,0.071,0.1718
121,0.0688,0.1676
122,0.0668,0.1838
123,0.0644,0.1726
124,0.069,0.1742
125,0.0702,0.1834
126,0.0698,0.1676
127,0.0702,0.1812
128,0.0744,0.1856
129,0.0718,0.1864
130,0.0732,0.1826
131,0.0696,0.1824
132,0.0716,0.1774
133,0.0716,0.1846
134,0.072,0.1784
135,0.0658,0.1594
136,0.0696,0.1888
137,0.078,0.177
138,0.0686,0.17
139,0.0716,0.1758
140,0.0728,0.1848
141,0.072,0.1706
142,0.073,0.1706
143,0.075,0.184
144,0.0696,0.1724
145,0.0674,0.1746
146,0.0684,0.1694
147,0.0692,0.181
148,0.073,0.1838
149,0.0718,0.1708
150,0.0734,0.1782
151,0.0686,0.18
152,0.0742,0.1758
153,0.0664,0.1832
154,0.0672,0.171
155,0.0658,0.1818
156,0.0666,0.1718
157,0.0716,0.184
158,0.0684,0.179
159,0.0664,0.1632
160,0.07,0.1728
161,0.0679999999999999,0.1856
162,0.0706,0.1734
163,0.0698,0.1786
164,0.0712,0.1732
165,0.0708,0.17
166,0.0698,0.1834
167,0.0708,0.1738
168,0.0782,0.1748
169,0.0774,0.1766
170,0.0694,0.1728
171,0.078,0.1866
172,0.0672,0.1754
173,0.0712,0.1714
174,0.0752,0.1704
175,0.0744,0.1742
176,0.0716,0.1798
177,0.0712,0.1796
178,0.0676,0.1678
179,0.0756,0.1758
