T(rees),Training Error,Testing Error
273,0.0136,0.1444
274,0.0136,0.145
275,0.0136,0.1446
276,0.0136,0.145
277,0.0136,0.1446
278,0.0136,0.1448
279,0.0136,0.1446
280,0.0136,0.1448
281,0.0136,0.1442
282,0.0136,0.1446
283,0.0136,0.1442
284,0.0136,0.1444
285,0.0136,0.1442
286,0.0136,0.144
287,0.0136,0.1442
288,0.0136,0.1442
289,0.0136,0.1444
290,0.0136,0.1446
291,0.0136,0.145
292,0.0136,0.1448
293,0.0136,0.1446
294,0.0136,0.1446
295,0.0136,0.1444
296,0.0136,0.1444
297,0.0136,0.1446
298,0.0136,0.1446
299,0.0136,0.1446
300,0.0136,0.1446
301,0.0136,0.1446
302,0.0136,0.1446
303,0.0136,0.1446
304,0.0136,0.1446
305,0.0136,0.1448
306,0.0136,0.1448
307,0.0136,0.1448
308,0.0136,0.1446
309,0.0136,0.1446
310,0.0136,0.1452
311,0.0136,0.1448
312,0.0136,0.1452
313,0.0136,0.1448
314,0.0136,0.1452
315,0.0136,0.145
316,0.0136,0.1452
317,0.0136,0.145
318,0.0136,0.1458
319,0.0136,0.1456
320,0.0136,0.1464
321,0.0136,0.1456
322,0.0136,0.1458
323,0.0136,0.1458
324,0.0136,0.1464
325,0.0136,0.1458
326,0.0136,0.146
327,0.0136,0.1458
328,0.0136,0.1462
329,0.0136,0.146
330,0.0136,0.1462
331,0.0136,0.146
332,0.0136,0.1462
333,0.0136,0.1464
334,0.0136,0.1464
335,0.0136,0.1468
336,0.0136,0.1464
337,0.0136,0.146
338,0.0136,0.146
339,0.0136,0.1462
340,0.0136,0.1462
341,0.0136,0.1464
342,0.0136,0.1464
343,0.0136,0.1462
344,0.0136,0.1462
345,0.0136,0.1458
346,0.0136,0.1462
347,0.0136,0.1454
348,0.0136,0.1456
349,0.0136,0.1458
350,0.0136,0.1462
351,0.0136,0.1458
352,0.0136,0.1464
353,0.0136,0.1458
354,0.0136,0.1462
355,0.0136,0.146
356,0.0136,0.1462
357,0.0136,0.146
358,0.0136,0.146
359,0.0136,0.1462
360,0.0136,0.1462
361,0.0136,0.1462
362,0.0136,0.1464
363,0.0136,0.146
364,0.0136,0.1462
365,0.0136,0.146
366,0.0136,0.1458
367,0.0136,0.1456
368,0.0136,0.1458
369,0.0136,0.1458
370,0.0136,0.1458
371,0.0136,0.146
372,0.0136,0.146
373,0.0136,0.1456
374,0.0136,0.146
375,0.0136,0.1454
376,0.0136,0.1456
377,0.0136,0.1456
378,0.0136,0.1452
379,0.0136,0.1452
380,0.0136,0.1454
381,0.0136,0.1454
382,0.0136,0.1454
383,0.0136,0.1448
384,0.0136,0.146
385,0.0136,0.1454
386,0.0136,0.1458
387,0.0136,0.1454
388,0.0136,0.1456
389,0.0136,0.1452
390,0.0136,0.1454
391,0.0136,0.145
392,0.0136,0.145
393,0.0136,0.145
394,0.0136,0.1454
395,0.0136,0.1452
396,0.0136,0.1452
397,0.0136,0.145
398,0.0136,0.1452
399,0.0136,0.145
400,0.0136,0.1452
401,0.0136,0.1454
402,0.0136,0.1456
403,0.0136,0.1454
404,0.0136,0.1458
405,0.0136,0.1456
406,0.0136,0.146
407,0.0136,0.1456
408,0.0136,0.1456
409,0.0136,0.1454
410,0.0136,0.1458
411,0.0136,0.1456
412,0.0136,0.146
413,0.0136,0.1454
414,0.0136,0.1456
415,0.0136,0.1452
416,0.0136,0.1454
417,0.0136,0.145
418,0.0136,0.1454
419,0.0136,0.1452
420,0.0136,0.1452
421,0.0136,0.145
422,0.0136,0.1452
423,0.0136,0.145
424,0.0136,0.145
425,0.0136,0.145
426,0.0136,0.1452
427,0.0136,0.1452
428,0.0136,0.1454
429,0.0136,0.1452
430,0.0136,0.1454
431,0.0136,0.1454
432,0.0136,0.1454
433,0.0136,0.145
434,0.0136,0.1452
435,0.0136,0.1452
436,0.0136,0.1454
437,0.0136,0.1452
438,0.0136,0.1454
439,0.0136,0.1452
440,0.0136,0.1456
441,0.0136,0.1458
442,0.0136,0.1458
443,0.0136,0.146
444,0.0136,0.1462
445,0.0136,0.146
446,0.0136,0.146
447,0.0136,0.146
448,0.0136,0.1464
449,0.0136,0.1464
450,0.0136,0.1464
451,0.0136,0.1468
452,0.0136,0.1468
453,0.0136,0.1468
454,0.0136,0.147
455,0.0136,0.1466
456,0.0136,0.1466
457,0.0136,0.1466
458,0.0136,0.1466
459,0.0136,0.1462
460,0.0136,0.1466
461,0.0136,0.146
462,0.0136,0.1464
463,0.0136,0.1464
464,0.0136,0.1464
465,0.0136,0.1464
466,0.0136,0.1464
467,0.0136,0.1462
468,0.0136,0.146
469,0.0136,0.1456
470,0.0136,0.1456
471,0.0136,0.1454
472,0.0136,0.1458
473,0.0136,0.146
474,0.0136,0.146
475,0.0136,0.146
476,0.0136,0.146
477,0.0136,0.1458
478,0.0136,0.146
479,0.0136,0.1462
480,0.0136,0.146
481,0.0136,0.1458
482,0.0136,0.1458
483,0.0136,0.1458
484,0.0136,0.1458
485,0.0136,0.146
486,0.0136,0.146
487,0.0136,0.1458
488,0.0136,0.1458
489,0.0136,0.1458
490,0.0136,0.1462
491,0.0136,0.1462
492,0.0136,0.1462
493,0.0136,0.1458
494,0.0136,0.1458
495,0.0136,0.1458
496,0.0136,0.146
497,0.0136,0.1456
498,0.0136,0.146
499,0.0136,0.146
500,0.0136,0.146
501,0.0136,0.1458
502,0.0136,0.1458
503,0.0136,0.1458
504,0.0136,0.1458
505,0.0136,0.1456
506,0.0136,0.1458
507,0.0136,0.1458
508,0.0136,0.146
509,0.0136,0.1454
510,0.0136,0.1456
511,0.0136,0.1456
512,0.0136,0.1458
513,0.0136,0.1456
514,0.0136,0.1456
515,0.0136,0.1456
516,0.0136,0.1458
517,0.0136,0.1456
518,0.0136,0.1456
519,0.0136,0.1456
520,0.0136,0.1456
521,0.0136,0.1454
522,0.0136,0.1454
523,0.0136,0.1454
524,0.0136,0.1454
525,0.0136,0.1454
526,0.0136,0.1454
527,0.0136,0.1454
528,0.0136,0.1454
529,0.0136,0.1454
530,0.0136,0.1456
