Tree#,Training Error,Testing Error
268,0.0696,0.1686
269,0.0696,0.1774
270,0.0664,0.1688
271,0.0698,0.1762
272,0.0712,0.1744
273,0.0732,0.1766
274,0.0714,0.1738
275,0.073,0.1788
276,0.0738,0.1632
277,0.0678,0.1682
278,0.0704,0.1748
279,0.0744,0.1686
280,0.0662,0.168
281,0.0646,0.1702
282,0.0672,0.1674
283,0.0686,0.1784
284,0.0628,0.1702
285,0.0684,0.1712
286,0.0688,0.1766
287,0.0688,0.1842
288,0.0688,0.166
289,0.069,0.1728
290,0.0676,0.1726
291,0.0652,0.1708
292,0.0682,0.1626
293,0.0712,0.1636
294,0.071,0.1748
295,0.0708,0.1714
296,0.0714,0.1672
297,0.0612,0.1714
298,0.0679999999999999,0.1756
299,0.0696,0.1658
300,0.0718,0.1768
301,0.0659999999999999,0.1626
302,0.0662,0.1654
303,0.0738,0.1728
304,0.0702,0.1702
305,0.0712,0.1796
306,0.0754,0.1752
307,0.0678,0.1674
308,0.0626,0.1716
309,0.0628,0.1576
310,0.0642,0.1778
311,0.0676,0.1622
312,0.0636,0.17
313,0.0724,0.1742
314,0.0658,0.1682
315,0.0704,0.1722
316,0.0639999999999999,0.1624
317,0.07,0.1756
318,0.0716,0.1874
319,0.069,0.1598
320,0.0612,0.1612
321,0.0676,0.171
322,0.0712,0.1692
323,0.0692,0.1718
324,0.0694,0.1816
325,0.0696,0.1652
326,0.0676,0.1702
327,0.0692,0.1684
328,0.0698,0.1588
329,0.0738,0.1726
330,0.0752,0.175
331,0.0702,0.1784
332,0.0712,0.1778
333,0.0704,0.1784
334,0.0644,0.1658
335,0.0716,0.1634
336,0.0696,0.179
337,0.0714,0.1696
338,0.07,0.164
339,0.069,0.1816
340,0.069,0.175
341,0.0706,0.1712
342,0.0688,0.1652
343,0.0669999999999999,0.1748
344,0.0706,0.17
345,0.0726,0.1714
346,0.0668,0.175
347,0.0714,0.1758
348,0.0684,0.1756
349,0.0658,0.1626
350,0.071,0.175
351,0.0672,0.1748
352,0.0638,0.169
353,0.0726,0.1676
354,0.0716,0.1732
355,0.0694,0.1766
356,0.0724,0.1806
357,0.0688,0.1698
358,0.0766,0.1872
359,0.0712,0.1818
360,0.0706,0.1686
361,0.0698,0.1768
362,0.0726,0.1856
363,0.0694,0.1736
364,0.0738,0.1778
365,0.0724,0.1752
366,0.0674,0.1778
367,0.0676,0.1644
368,0.075,0.1782
369,0.0692,0.1688
370,0.0696,0.1726
371,0.0664,0.1678
372,0.0718,0.1746
373,0.072,0.1744
374,0.0682,0.1822
375,0.0704,0.1806
376,0.0706,0.1702
377,0.0734,0.1694
378,0.0692,0.1764
379,0.0649999999999999,0.1714
380,0.0692,0.1704
381,0.0696,0.1812
382,0.0718,0.1726
383,0.0652,0.177
384,0.0714,0.1724
385,0.077,0.1694
386,0.0696,0.1704
387,0.0656,0.1638
388,0.0672,0.1684
389,0.0712,0.1748
390,0.0722,0.1694
391,0.0654,0.1594
392,0.0726,0.1696
393,0.0666,0.1754
394,0.0674,0.1656
395,0.0718,0.1728
396,0.0696,0.1766
397,0.0766,0.1788
398,0.0696,0.1714
399,0.0698,0.1776
400,0.0718,0.1818
401,0.0634,0.162
402,0.0726,0.1796
403,0.0696,0.1702
404,0.0728,0.1768
405,0.0722,0.1778
406,0.0706,0.1696
407,0.073,0.179
408,0.0696,0.1824
409,0.0798,0.1772
410,0.0682,0.1732
411,0.0718,0.1616
412,0.069,0.1772
413,0.0706,0.174
414,0.0672,0.167
415,0.0684,0.1698
416,0.0696,0.1728
417,0.0696,0.1736
418,0.0659999999999999,0.1854
419,0.072,0.1822
420,0.0652,0.1696
421,0.0648,0.1666
422,0.0706,0.1806
423,0.0669999999999999,0.1832
424,0.0676,0.1692
425,0.0736,0.1824
426,0.0702,0.1736
427,0.0669999999999999,0.1654
428,0.071,0.1796
429,0.0666,0.1634
430,0.072,0.1788
431,0.071,0.177
432,0.07,0.1684
433,0.0669999999999999,0.168
434,0.0792,0.1688
435,0.0666,0.1764
436,0.0628,0.1686
437,0.0704,0.1708
438,0.0654,0.1674
439,0.0668,0.1678
440,0.0662,0.1702
441,0.0674,0.1672
442,0.0696,0.1774
443,0.0714,0.1718
444,0.0668,0.1748
445,0.0694,0.164
446,0.069,0.1624
447,0.0746,0.1796
448,0.0696,0.1668
449,0.0672,0.1694
450,0.0694,0.1694
451,0.0756,0.1792
452,0.0688,0.1736
453,0.0686,0.1768
454,0.0714,0.175
455,0.0716,0.1814
456,0.0668,0.177
457,0.07,0.1772
458,0.0716,0.172
459,0.0696,0.164
460,0.0724,0.1698
461,0.0672,0.1662
462,0.0649999999999999,0.1618
463,0.0756,0.1712
464,0.0708,0.1726
465,0.0688,0.1726
466,0.073,0.1736
467,0.0758,0.181
468,0.073,0.179
469,0.0686,0.1678
470,0.0676,0.1694
471,0.0652,0.1692
472,0.069,0.1752
473,0.0724,0.1718
474,0.0634,0.1718
475,0.0692,0.1656
476,0.0704,0.1698
477,0.0674,0.1714
478,0.0698,0.1652
479,0.0702,0.174
480,0.0698,0.177
481,0.0684,0.1754
482,0.0676,0.1732
483,0.0656,0.167
484,0.0606,0.1658
485,0.0669999999999999,0.1748
486,0.074,0.1712
487,0.0659999999999999,0.1634
488,0.0692,0.178
489,0.0688,0.1772
490,0.0688,0.1682
491,0.0738,0.1812
492,0.0748,0.1842
493,0.0668,0.1586
494,0.0668,0.1722
495,0.0696,0.1694
496,0.0672,0.1634
497,0.0648,0.1744
498,0.0696,0.162
499,0.0696,0.1758
500,0.0712,0.1704
501,0.0712,0.1742
502,0.07,0.171
503,0.0686,0.1718
504,0.0706,0.1844
505,0.0659999999999999,0.1646
506,0.0706,0.1738
507,0.0712,0.1664
508,0.0616,0.1704
509,0.0744,0.177
510,0.071,0.1812
511,0.0714,0.1796
512,0.0652,0.162
513,0.071,0.1782
514,0.0676,0.1702
515,0.0728,0.1718
516,0.0686,0.1728
517,0.0738,0.167
518,0.0676,0.1664
519,0.0610000000000001,0.1706
520,0.0694,0.1756
521,0.076,0.1746
522,0.0698,0.1718
523,0.0678,0.1632
524,0.0682,0.1778
525,0.0688,0.1628
526,0.0708,0.173
527,0.0712,0.1726
528,0.0639999999999999,0.1718
529,0.0686,0.1746
530,0.0656,0.1772
531,0.0706,0.1744
532,0.0716,0.178
533,0.0704,0.1772
534,0.0694,0.17
535,0.0644,0.167
536,0.0679999999999999,0.1738
537,0.0744,0.1654
538,0.0679999999999999,0.1696
539,0.0658,0.172
540,0.0766,0.1732
541,0.0672,0.172
542,0.073,0.184
543,0.0666,0.1602
544,0.0698,0.1846
545,0.0744,0.1688
546,0.0684,0.1736
547,0.0718,0.1702
548,0.07,0.1742
549,0.0742,0.172
550,0.075,0.1874
551,0.069,0.1696
552,0.071,0.1794
553,0.0686,0.1708
554,0.0678,0.1684
555,0.0728,0.1736
556,0.0732,0.1784
557,0.0698,0.1692
558,0.071,0.1752
559,0.0716,0.1686
560,0.0718,0.1792
561,0.0649999999999999,0.1674
562,0.0664,0.171
563,0.069,0.1876
564,0.0672,0.1702
565,0.0676,0.1694
566,0.0694,0.1756
567,0.0692,0.1766
568,0.0658,0.1752
569,0.0672,0.1648
570,0.0756,0.18
571,0.0686,0.176
572,0.0698,0.1758
573,0.0698,0.1822
574,0.0679999999999999,0.1756
575,0.0696,0.1746
576,0.0708,0.1806
