NormalPerceptron 
Train,Test
0.0114678899082569,0.518
0.0217889908256883,0.518
0.0114678899082571,0.482
0.0217889908256876,0.476
0.0114678899082569,0.468
0.0160550458715599,0.488
0.0229357798165143,0.522
0.0229357798165133,0.546
0.0252293577981654,0.49
0.0114678899082571,0.504
0.0252293577981657,0.47

VotedPerceptron 
Train,Test
0.0516055045871549,0.0499999999999998
0.0412844036697251,0.0459999999999998
0.0424311926605511,0.0439999999999998
0.0447247706422028,0.0459999999999998
0.0447247706422009,0.0439999999999998
0.0435779816513764,0.0339999999999999
0.047018348623854,0.0459999999999998
0.043577981651377,0.0379999999999999
0.0447247706422009,0.0439999999999998
0.0447247706422021,0.0399999999999999
0.0412844036697254,0.0359999999999999

AveragedPerceptron 
Train,Test
0.0309633027522942,0.51
0.0194954128440363,0.518
0.0217889908256882,0.474
0.0149082568807342,0.49
0.01605504587156,0.502
0.0160550458715593,0.472
0.0126146788990827,0.468
0.0126146788990828,0.512
0.0126146788990828,0.486
0.0126146788990823,0.516
0.0126146788990827,0.508

MarginPerceptron 
Train,Test
0.157110091743122,0.558
0.178899082568811,0.51
0.158256880733942,0.502
0.163990825688075,0.506
0.172018348623856,0.488
0.177752293577985,0.5
0.143348623853208,0.502
0.152522935779818,0.532
0.153669724770645,0.544
0.152522935779819,0.53
0.149082568807336,0.506
